Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1,0.0938,105.18RG,27.9,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0.9907,0.0965,22.18RG,155.19,173.11,47.18,97.18,46.8,46.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1,0.1003,93.14RG,137.11RG,62.17RG,61.18RG,126.18RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1,0.0932,80.5RG,120.2,147.11,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1,0.0973,79.9RG,32.1,125.2,101.5,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,0.0991,102.2RG,123.2RG,35.13RG,138.2,65.13,113.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1,0.099,108.9RG,165.13RG,90.12RG,107.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1,0.0988,22.4RG,37.4RG,40.4RG,15.4RG,4.15RG,65.4RG,55.4RG,63.4RG,3.4RG,12.4RG,53.4RG,11.15RG,49.4RG,20.4,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1,0.1026,36.3RG,60.5,86.3,7.3,105.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0.9686,0.0952,169.13RG,169.18RG,88.18RG,166.18RG,11.5,136.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.9984,0.0974,77.9RG,159.18,58.12,167.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1,0.0997,89.18RG,87.9RG,104.18,106.19,183.19,68.18,71.18,48.5,14.19,42.2,84.18,173.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0.823,0.0809,24.17RG,28.14RG,38.17RG,56.17RG,47.17,97.13,91.3,130.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1,0.0995,115.2RG,54.17RG,57.17RG,89.2RG,126.13RG,33.17,101.13,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1,0.0983,168.6RG,80.2RG,66.2RG,39.17RG,19.1,72.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1,0.0989,31.13RG,92.13RG,185.13RG,26.3,143.1,130.13,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.9098,0.0905,24.8RG,116.9,53.18,122.9,172.9,12.2,11.2,151.9,154.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1,0.067,114.9RG,4.2RG,118.6,75.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0.9921,0.0956,61.12RG,134.2RG,13.8,164.13,132.18,168.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,0.0977,148.11RG,90.11RG,143.11,179.13,56.8,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0.9877,0.0974,182.11RG,57.11RG,44.18RG,88.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0.9853,0.0966,128.9RG,7.13RG,81.11,146.6,163.12,87.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,0.109,30.14RG,25.18RG,72.12RG,47.12RG,52.7RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0.5635,0.0553,47.11RG,62.8,111.11,123.3,3.6,161.11,107.2,135.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1,0.0993,105.5RG,71.8RG,46.12,97.5,2.6,9.11,109.11,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1,0.0993,69.17RG,65.5RG,178.18,61.14,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0.9994,0.096,79.13RG,85.2RG,59.18,132.13,77.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1,0.0667,39.14RG,153.6,71.19,111.19,17.3,58.2,93.6,32.11,132.11,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.9977,0.0971,19.5RG,157.6,140.6,37.11,28.13,7.8,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1,0.098,81.2RG,9.2RG,88.7RG,34.2RG,3.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.999,0.0983,55.8RG,85.13RG,152.12RG,114.12RG,134.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.9998,0.0968,80.11RG,2.16,77.3,111.1,146.3,39.18,38.3,88.19,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1,0.0871,17.15RG,12.15RG,60.4RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0.9879,0.0976,38.18RG,164.12RG,118.18,34.5,75.18,16.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,0.1048,28.17RG,14.2RG,163.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,0.0979,118.2RG,126.12RG,20.8,147.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.9892,0.1008,83.12RG,186.13RG,116.13RG,129.13RG,103.13RG,5.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,0.2859,7.14RG,147.13RG,41.5RG,97.2RG,83.18RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,0.0367,124.9RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,0.0818,144.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,0.0987,59.5RG,91.2RG,65.3,168.11,48.9,107.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,0.0997,48.2RG,116.18RG,128.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,0.0964,161.1RG,150.6RG,67.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,0.0979,3.19RG,135.19RG,25.19RG,46.19RG,104.19RG,145.19RG,30.19,89.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,0.1015,184.18RG,138.18RG,70.17,164.18,120.18,163.9,177.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,0.0973,33.12RG,29.12RG,1.19RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.9876,0.0982,161.6RG,124.1,62.11,27.5,106.5,153.18,67.8,24.9,110.9,115.9,45.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,0.1097,72.13RG,31.18RG,137.18RG,66.5,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1,0.099,58.5RG,98.12RG,109.13RG,38.13RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,0.093,93.9RG,83.9RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.8291,0.0288,66.13RG,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,0.1,85.12RG,86.13RG,27.17,5.1,26.18,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,0.0994,21.2RG,88.12RG,68.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1,0.0992,60.17RG,67.12RG,13.13RG,26.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1,0.0977,73.17RG,14.11RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
