(Fila vacia),,,,,,,,,,,,,,,,,,
260,1,0.0988,131.1RG,21.5RG,322.3,29.1,484.1,412.3,151.4,149.4,,,,,,,,
261,1,0.0995,283.5RG,48.5RG,105.5RG,138.5RG,148.5RG,128.5RG,146.5,241.5,158.5,237.5,34.5,57.5,47.5,5.5,54.3,131.5
262,1,0.0982,299.1RG,159.2RG,3.2,318.5,381.5,,,,,,,,,,,
263,0.9859,0.0447,102.1RG,316.1RG,126.1,201.4,294.2,90.2,236.1,,,,,,,,,
264,1,0.0137,174.2RG,137.5RG,230.4,144.1,116.1,135.1,116.5,,,,,,,,,
265,1,0.0986,454.1RG,278.5RG,278.1RG,227.3,8.2,,,,,,,,,,,
266,1,0.0981,508.2RG,10.1RG,248.5,343.5,406.5,,,,,,,,,,,
267,1,0.0995,440.1RG,345.5,408.5,39.1,311.4,79.3,229.4,294.1,35.1,,,,,,,
268,1,0.1044,341.4RG,72.4RG,429.4RG,227.1RG,263.2,176.2,189.4,184.1,,,,,,,,
269,1,0.099,165.5RG,258.4,304.3,112.3,,,,,,,,,,,,
270,1,0.0995,17.1RG,360.1RG,11.3RG,181.1,332.4,,,,,,,,,,,
