Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
472,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0.0
480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
481,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
482,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
484,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
485,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
489,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
490,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
491,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
496,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0.0
499,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
500,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
501,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
508,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
